gene_id,Exp_2_3,Neg_1_2
CELE_Y54E10A.21|Y54E10A.21,0,0
CELE_Y54E10A.23|Y54E10A.23,0,0
CELE_Y44E3B.2|tyr-5,61,48
CELE_Y44E3B.1|zip-4,2662,2529
CELE_W01B11.5|pqn-72,207,166
CELE_W01B11.7|W01B11.7,0,0
CELE_W01B11.1|W01B11.1,0,0
CELE_W01B11.6|W01B11.6,962,1048
CELE_W01B11.3|nol-58,14876,14287
CELE_Y44E3A.2|ace-2,765,819
CELE_Y44E3A.3|trx-4,1466,1187
CELE_Y44E3A.4|cdap-2,3787,4070
CELE_W05F2.8|W05F2.8,33,30
CELE_W05F2.7|W05F2.7,156,181
CELE_W05F2.2|enu-3.4,126,80
CELE_Y44E3A.1|Y44E3A.1,236,258
CELE_Y44E3A.6|edc-4,6651,6723
CELE_W05F2.3|W05F2.3,20414,18816
CELE_W05F2.5|fbxa-203,397,351
CELE_W05F2.6|W05F2.6,3067,3338
CELE_W05F2.4|W05F2.4,1539,1365
CELE_W05F2.9|W05F2.9,0,0
CELE_F25F1.4|F25F1.4,0,0
